Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40307_AvalParcial,40307_TaxaAssid,40352_AvalParcial,40352_TaxaAssid,40368_AvalParcial,40368_TaxaAssid,40525_AvalParcial,40525_TaxaAssid,41784_AvalParcial,41784_TaxaAssid,45991_AvalParcial,45991_TaxaAssid,47034_AvalParcial,47034_TaxaAssid,47050_AvalParcial,47050_TaxaAssid,47109_AvalParcial,47109_TaxaAssid,47176_AvalParcial,47176_TaxaAssid
b1,1737,A1737,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,,,,,91.67,,,,100,,94.12,,,,
b1,1739,A1739,F,,ÁUSTRIA,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,148.8,1,1,10,5,,100,,100,,,,,,91.67,,,,100,,100,,,,
b1,1742,A1742,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,19/09/2017,Deferida,27/10/2017,1739,10,144.4,1,1,10,5,,100,,100,,,,,,83.33,,,,100,,94.12,,,,
b1,1749,A1749,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,162,1,1,10,5,,100,,100,,,,,,100,,,,100,,100,,,,
b1,1764,A1764,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,607.68,10,28/09/2017,Deferida,19/10/2017,1064,10,137,1,2,10,5,,100,,100,,,,,,100,,,,91.3,,100,,,,
b1,1765,A1765,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,144.8,1,2,10,5,,100,,100,,,,,,92.31,,,,100,,100,,,,
b1,1768,A1768,F,,CAZAQUISTÃO,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,17/08/2017,Em análise,,,10,166.2,1,1,10,5,,100,,100,,,,,,83.33,,,,91.3,,100,,,,
b1,1771,A1771,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,14/09/2017,Deferida,19/10/2017,1064,10,141.6,1,3,30,5,,100,,100,,,,,,38.46,,,,92.59,,89.47,,,,
b1,1775,A1775,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,30/09/2017,Deferida,20/11/2017,1064,10,146,1,1,10,5,,100,,100,,,,,,84.62,,,,100,,94.74,,,,
b1,1788,A1788,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,,,,,100,,,,100,,100,,,,
b1,2014,A2014,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,10,5,,100,,100,,,,,,84.62,,,,95.65,,100,,,,
b1,2134,A2134,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,60,,30,0,,0,0,0,10,0,10,13/09/2017,Deferida,20/11/2017,1064,,,,,10,5,,100,,100,,,,,,100,,,,100,,94.74,,,,
b1,2444,A2444,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,16/09/2017,Deferida,22/01/2018,3469,10,141.4,1,3,10,5,,100,,100,,,,,,84.62,,,,91.67,,100,,,,
b1,2685,A2685,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,141.79,30,14/09/2017,Indeferida,27/10/2017,,10,141,2,1,10,5,,100,,93.33,,,,,,83.33,,,,96,,94.12,,,,
b1,2875,A2875,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,144.4,2,1,10,5,,100,,100,,,,,,100,,,,100,,100,,,,
b1,2887,A2887,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,137.8,2,2,10,5,,100,,100,,,,,,92.31,,,,91.67,,100,,,,
b1,2922,A2922,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.6,2,1,10,5,,100,,93.33,,,,,,92.31,,,,100,,100,,,,
b1,2966,A2966,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,141.79,10,21/09/2017,Deferida,,,10,145.4,2,1,10,5,,100,,100,,,,,,100,,,,100,,94.74,,,,
b1,2972,A2972,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,30,29/09/2017,Indeferida,06/11/2017,,10,143.2,2,1,10,5,,100,,100,,,,,,92.31,,,,95.83,,100,,,,
b1,2988,A2988,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ANULADO,Regime Geral,Ordinário,1,30,,30,0,,0,0,0,10,0,,,,,,10,138,2,2,,0,,,,,,,,,,,,,,,,,,,,
b1,3028,A3028,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,10/08/2017,Em análise,,,10,139.2,2,1,10,5,,100,,100,,,,,,84.62,,,,91.67,,100,,,,
b1,3031,A3031,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,17/08/2017,Deferida,10/11/2017,1064,10,160.6,2,2,10,5,,100,,100,,,,,,91.67,,,,95.83,,100,,,,
b1,3034,A3034,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,02/08/2017,Deferida,21/10/2017,1250,10,142.4,2,2,10,5,,100,,100,,,,,,91.67,,,,100,,100,,,,
b1,3096,A3096,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,607.68,10,30/09/2017,Deferida,18/12/2017,1066,10,138,2,1,10,5,,100,,100,,,,,,92.31,,,,95.65,,100,,,,
