Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40307_AvalParcial,40307_TaxaAssid,40352_AvalParcial,40352_TaxaAssid,40368_AvalParcial,40368_TaxaAssid,40395_AvalParcial,40395_TaxaAssid,40525_AvalParcial,40525_TaxaAssid,40723_AvalParcial,40723_TaxaAssid,41784_AvalParcial,41784_TaxaAssid,47034_AvalParcial,47034_TaxaAssid,47050_AvalParcial,47050_TaxaAssid,47109_AvalParcial,47109_TaxaAssid,47176_AvalParcial,47176_TaxaAssid,47193_AvalParcial,47193_TaxaAssid
b1,1735,A1735,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,144.6,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1737,A1737,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,88.89,,,,,,
b1,1739,A1739,F,,ÁUSTRIA,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,148.8,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1742,A1742,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,19/09/2017,Deferida,27/10/2017,1739,10,144.4,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1749,A1749,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,162,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1764,A1764,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,354.5,10,28/09/2017,Deferida,19/10/2017,1064,10,137,1,2,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1765,A1765,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,144.8,1,2,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1768,A1768,F,,CAZAQUISTÃO,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,17/08/2017,Em análise,,,10,166.2,1,1,10,5,,100,,100,,,,,,,,,,100,,90,,100,,,,,,
b1,1771,A1771,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,14/09/2017,Deferida,19/10/2017,1064,10,141.6,1,3,30,5,,100,,100,,,,,,,,,,80,,80,,100,,,,,,
b1,1775,A1775,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,30/09/2017,Em análise,,,10,146,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,1788,A1788,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2014,A2014,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2134,A2134,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,60,,30,0,,0,0,0,10,0,20,13/09/2017,Em análise,,,,,,,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2444,A2444,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,354.5,20,16/09/2017,Em análise,,,10,141.4,1,3,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2685,A2685,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,14/09/2017,Em análise,,,10,141,2,1,30,5,,100,,100,,,,,,,,,,80,,100,,88.89,,,,,,
b1,2875,A2875,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,144.4,2,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2887,A2887,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,137.8,2,2,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2922,A2922,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,142.6,2,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2966,A2966,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,21/09/2017,Em análise,,,10,145.4,2,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2972,A2972,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,30,29/09/2017,Indeferida,,,10,143.2,2,1,10,5,,100,,100,,,,,,,,,,100,,100,,100,,,,,,
b1,2988,A2988,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,138,2,2,30,5,,100,,100,,,,,,,,,,60,,100,,88.89,,,,,,
b1,3028,A3028,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,354.5,,,,,,10,139.2,2,1,30,5,,100,,100,,,,,,,,,,80,,100,,100,,,,,,
b1,3031,A3031,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,20,17/08/2017,Em análise,,,10,160.6,2,2,30,5,,100,,100,,,,,,,,,,80,,100,,100,,,,,,
b1,3034,A3034,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,02/08/2017,Deferida,21/10/2017,1250,10,142.4,2,2,30,5,,100,,100,,,,,,,,,,80,,100,,100,,,,,,
b1,3096,A3096,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,354.5,20,30/09/2017,Em análise,,,10,138,2,1,30,5,,100,,100,,,,,,,,,,80,,100,,100,,,,,,
